Distancia,Carga
0.0,0.0002742716
0.0,9.532669e-05
0.0,-0.0001039807
0.03719991,0.001940384
0.08213313,0.00612818
0.1247997,0.009985102
0.1665329,0.01275426
0.2079995,0.01572506
0.2499994,0.01779371
0.291866,0.0203894
0.3327992,0.02363548
0.3750657,0.02707264
0.4166657,0.02823246
0.4578655,0.03386944
0.4998654,0.03434519
0.5418654,0.04119955
0.5830653,0.04273253
0.6247985,0.04899171
0.6667984,0.05180511
0.7081316,0.05659905
0.7497315,0.06321103
0.7918648,0.06553498
0.8333313,0.07163948
0.8746645,0.07556493
0.9166644,0.07759128
0.9583976,0.08548407
0.9997309,0.08960139
1.041464,0.09816376
1.083597,0.1046641
1.124664,0.1124532
1.166397,0.1262022
1.208664,0.1395186
1.249597,0.1502494
1.291597,0.1637636
1.333463,0.1742462
1.374663,0.1866294
1.416663,0.1993545
1.45853,0.2121975
1.499996,0.2246685
1.541596,0.2355951
1.583463,0.2486534
1.624929,0.2613022
1.666396,0.2740414
1.708396,0.2859129
1.749996,0.2994963
1.791462,0.3111704
1.833062,0.3248467
1.875195,0.3382746
1.916529,0.351024
1.957995,0.3639386
2.000262,0.375796
2.041595,0.3908823
2.083062,0.4058961
2.125328,0.4183256
2.166528,0.4325323
2.208128,0.4455335
2.249995,0.4601307
2.291728,0.4765346
2.333194,0.4897561
2.374794,0.5060398
2.416794,0.5197289
2.458261,0.5362495
2.499861,0.5520183
2.541994,0.5678309
2.582927,0.5847911
2.62506,0.5997305
2.66666,0.6173255
2.70826,0.6347518
2.74986,0.652747
2.791726,0.6689496
2.83346,0.6873105
2.87466,0.7057395
2.916793,0.7246819
2.958526,0.7441114
2.999593,0.7620533
3.041726,0.7816521
3.083459,0.8014417
3.124526,0.8210056
3.166526,0.8445755
3.208525,0.8653687
3.249859,0.8849956
3.291592,0.9072843
3.333592,0.9294497
3.374792,0.951738
3.416392,0.9734158
3.458525,0.9964447
3.499858,1.020094
3.541325,1.044567
3.583325,1.069431
3.625058,1.094786
3.666391,1.120267
3.708124,1.144724
3.750257,1.171699
3.791324,1.198702
3.832924,1.224301
3.875457,1.25266
3.916257,1.279211
3.958124,1.307825
4.000257,1.337246
4.041323,1.364134
4.083323,1.394195
4.12519,1.424254
4.166657,1.453305
4.208123,1.48498
4.24999,1.517514
4.29159,1.546707
4.333056,1.57916
4.374923,1.610843
4.416789,1.64333
4.458122,1.67574
4.499856,1.71067
4.541856,1.745498
4.583322,1.776727
4.624655,1.809854
4.666922,1.844845
4.708255,1.879343
4.749722,1.915524
4.791989,1.950448
4.833322,1.985211
4.874655,2.019354
4.916788,2.057421
4.958388,2.092506
4.999855,2.128044
5.041588,2.165095
5.083454,2.20313
5.124787,2.238737
5.166388,2.277846
5.208654,2.317946
5.249721,2.355163
5.291587,2.392519
5.333454,2.433367
5.374787,2.469456
5.41652,2.510427
5.458387,2.551504
5.499986,2.589723
5.54132,2.628559
5.58332,2.671347
5.625186,2.711035
5.666253,2.747957
5.708253,2.790021
5.750119,2.832414
5.791186,2.873171
5.833186,2.915946
5.875319,2.959122
5.916519,2.997239
5.958119,3.040228
6.000385,3.085766
6.041585,3.126438
6.083052,3.169212
6.125052,3.213646
6.166652,3.256505
6.208118,3.297129
6.249985,3.343862
6.291718,3.386752
6.333184,3.428568
6.374784,3.473899
6.416918,3.5174
6.458118,3.562067
6.499851,3.607612
6.542117,3.656058
6.582917,3.694057
6.625051,3.742272
6.666917,3.791172
6.708117,3.832909
6.749983,3.880576
6.791717,3.928546
6.833317,3.970306
6.874783,4.017587
6.91665,4.064742
6.958383,4.113989
6.999583,4.15686
7.041583,4.204378
7.08345,4.256817
7.124783,4.292803
