Fecha;Movimiento;Cuotas pagas;Cuotas totales;Importe;Persona;Tarjeta
16/4/2020;MP*Americ;6;6;176,5;Agus;Cencosud;176,5
16/4/2020;MP*Warnes;6;6;146,52;Agus;Cencosud;146,52
15/4/2020;MP*Shoppi;6;6;225,34;Agus;Cencosud;225,34
27/2/2020;MP*Titaniumhyk;8;12;333,25;Agus;Cencosud;1666,25
24/1/2020;MP*Mrdog;9;12;282,91;Agus;Cencosud;1131,64
20/1/2020;MP*Fabricacalco;9;12;195,83;Agus;Cencosud;783,32
17/1/2020;Easy Constituyentes;9;12;832,91;Agus;Cencosud;3331,64
12/1/2020;Easy Constituyentes;10;12;1527,19;Agus;Cencosud;4581,57
12/1/2020;Easy Constituyentes;10;12;960,08;Agus;Cencosud;2880,24
8/7/2020;MP*Northstones;4;12;196,95;Gus;Cencosud;1772,55
8/7/2020;MP*Northstones;4;12;109,99;Gus;Cencosud;989,91
8/7/2020;MP*Northstones;4;12;108,33;Gus;Cencosud;974,97
22/6/2020;MP*Jazakshop;4;12;-287,41;Gus;Cencosud;-2586,69
21/6/2020;MP*Tienda;4;12;345,23;Gus;Cencosud;3107,07
17/6/2020;MP*Danitb;4;6;99,99;Gus;Cencosud;299,97
9/6/2020;MP*Ivmacoarg;5;12;449,91;Gus;Cencosud;3599,28
8/6/2020;MP*Jazakshop;5;12;287,41;Gus;Cencosud;2299,28
5/6/2020;MP*Makkasarsa;5;12;583,25;Gus;Cencosud;4666
30/5/2020;MP*Crazyc;5;6;213,13;Gus;Cencosud;426,26
13/3/2020;MP*Casatagger;7;12;265,5;Gus;Cencosud;1593
8/3/2020;Easy Warnes;8;12;998,91;Gus;Cencosud;4994,55
18/2/2020;Easy Constituyentes;8;12;248,07;Gus;Cencosud;1240,35
13/2/2020;Easy Constituyentes;8;12;529,24;Gus;Cencosud;2646,2
25/1/2020;Easy Constituyentes;9;12;781,66;Gus;Cencosud;3126,64
21/1/2020;Easy Constituyentes;9;12;380,07;Gus;Cencosud;1520,28
21/1/2020;Easy Constituyentes;9;12;2,49;Gus;Cencosud;9,96
21/1/2020;Easy Constituyentes;9;18;52,01;Gus;Cencosud;520,1
19/1/2020;Easy Constituyentes;9;12;709,69;Gus;Cencosud;2838,76
18/1/2020;Easy Constituyentes;9;12;837,83;Gus;Cencosud;3351,32
17/1/2020;Easy Warnes;9;12;3121,99;Gus;Cencosud;12487,96
17/1/2020;Easy Constituyentes;9;12;808,28;Gus;Cencosud;3233,12
2/1/2020;Easy Palermo;10;12;495,66;Gus;Cencosud;1486,98
