Fecha;Movimiento;Cuotas pagas;Cuotas totales;Importe;Persona;Tarjeta
3/10/2019;Juanita Jo;12;12;191,66;Agus;Naranja;191,66
5/5/2020;MP*Farmaciadelho;5;6;201,36;Agus;Naranja;402,72
3/6/2020;Opcion Elegida Jun/20 Banelco;5;12;277,96;Agus;Naranja;2223,68
1/7/2020;Opcion Elegida Jul/20 Banelco;4;9;283,09;Agus;Naranja;1698,54
29/7/2020;Zeta;3;6;1067,51;Agus;Naranja;4270,04
22/9/2020;Galicia Seguros Vida;1;1;125,04;Agus;Naranja;125,04
25/9/2020;Tarjeta Naranja Villa Crespo;1;1;229,9;Agus;Naranja;229,9
5/1/2020;Falabella Dot;9;12;361,32;Gus;Naranja;1445,28
30/1/2020;MP*Farmaciadelho;8;12;75,86;Gus;Naranja;379,3
3/6/2020;Opcion Elegida Jun/20 Banelco;5;12;765,06;Gus;Naranja;6120,48
1/7/2020;Opcion Elegida Jul/20 Banelco;4;9;506,82;Gus;Naranja;3040,92
27/7/2020;MP*ML;2;9;277,77;Gus;Naranja;2222,16
29/7/2020;Opcion Elegida Ago/20 Banelco;3;6;453,08;Gus;Naranja;1812,32
24/8/2020;Pedidos Ya;1;1;390;Gus;Naranja;390
6/9/2020;Pedidos Ya;1;1;941,5;Gus;Naranja;941,5
10/9/2020;MP*ML;1;9;312,24;Gus;Naranja;2810,16
11/9/2020;Pedidos Ya - Propina;1;1;30;Gus;Naranja;30
11/9/2020;Pedidos Ya;1;1;598;Gus;Naranja;598
22/9/2020;Galicia Seguros Vida;1;1;68,64;Gus;Naranja;68,64
