Distancia,Carga
0.000266666,-0.001067638
0.000266666,-0.000941554
0.000266666,-0.000804897
0.03733324,0.0002762157
0.08226647,-4.917529e-05
0.124533,0.0004586851
0.1667996,-0.001072728
0.2086662,-0.0002132423
0.2498661,0.001449346
0.2917326,0.0005393478
0.3334659,4.166795e-05
0.3749324,0.0001771492
0.4166657,-0.0008855597
0.4586655,0.0002758243
0.4997322,-0.002827335
0.5418654,-0.001381674
0.5835986,-0.0002038447
0.6250651,-0.0003271867
0.666665,0.002678081
0.7085316,0.004326964
0.7502649,0.007811116
0.7914648,0.01045066
0.833598,0.01396301
0.8753312,0.01784734
0.9163978,0.02174655
0.9583976,0.0277657
1.000264,0.03302521
1.041597,0.0383646
1.083331,0.04620766
1.125331,0.05220763
1.166664,0.05903927
1.208397,0.06732402
1.25053,0.07366113
1.291464,0.08230141
1.33333,0.08976348
1.37533,0.09868374
1.416663,0.1056415
1.45853,0.1123228
1.499996,0.1225442
1.541863,0.1314554
1.58333,0.1408483
1.624929,0.1530429
1.667329,0.1605644
1.708262,0.1731079
1.749729,0.1827791
1.792262,0.1942289
1.833062,0.2065954
1.874929,0.2176778
1.917195,0.2290066
1.958262,0.2408789
1.999995,0.2520041
2.041995,0.267431
2.083462,0.2779426
2.125062,0.2920303
2.166928,0.3041226
2.208395,0.3174993
2.249995,0.3338499
2.291861,0.3452637
2.333461,0.3625427
2.374794,0.3785295
2.416661,0.3928319
2.458527,0.413839
2.500127,0.4280912
2.541594,0.4426625
2.58386,0.4649853
2.624927,0.4784606
2.66666,0.4979078
2.70866,0.5165729
2.749993,0.5321349
2.791726,0.5506724
2.83346,0.5687213
2.875326,0.5884906
2.916526,0.6081962
2.958393,0.6271934
3.000393,0.6474416
3.041459,0.6659877
3.083326,0.6871636
3.125459,0.7083626
3.166526,0.7303678
3.208392,0.7500068
3.250259,0.7717406
3.291592,0.7948834
3.333325,0.8165961
3.375192,0.8402741
3.416925,0.8613274
3.458258,0.8841901
3.500125,0.9082734
3.541991,0.9319177
3.583191,0.9577278
3.625191,0.9800654
3.667058,1.005874
3.708258,1.030355
3.749991,1.055086
3.791991,1.083167
3.833324,1.106574
3.875057,1.133088
3.917191,1.162121
3.958124,1.186931
3.99999,1.217043
4.042123,1.243635
4.08319,1.271588
4.125057,1.299937
4.16679,1.329261
4.208523,1.358621
4.24999,1.386764
4.291456,1.416557
4.333856,1.448217
4.37479,1.473133
4.416523,1.509345
4.458922,1.539895
4.499722,1.568109
4.541722,1.601655
4.583722,1.632931
4.624922,1.666505
4.666655,1.699031
4.708788,1.729002
4.749989,1.762965
4.791589,1.795907
4.833455,1.830034
4.875055,1.863612
4.916521,1.894321
4.958521,1.929444
5.000121,1.964886
5.041588,1.996945
5.083187,2.030426
5.125321,2.06786
5.166788,2.100875
5.208254,2.135463
5.250387,2.173558
5.29172,2.208123
5.333187,2.244972
5.375454,2.280798
5.416654,2.317716
5.458253,2.353373
5.50012,2.39228
5.541986,2.430052
5.583187,2.464068
5.625053,2.503821
5.667053,2.540237
5.708253,2.575867
5.749853,2.615082
5.792119,2.655333
5.833186,2.693802
5.875052,2.731103
5.916919,2.772701
5.958385,2.810173
5.999985,2.84877
6.041719,2.893494
6.083452,2.932873
6.124918,2.972311
6.166785,3.014995
6.208652,3.056006
6.249852,3.095765
6.291851,3.138739
6.333584,3.181862
6.374784,3.22176
6.416518,3.263683
6.458918,3.310394
6.499851,3.348111
6.541584,3.394039
6.583851,3.437859
6.624784,3.480162
6.666651,3.523097
6.70865,3.569446
6.749983,3.61385
6.791717,3.655764
6.833317,3.699283
6.875317,3.747315
6.91665,3.786901
6.958249,3.836301
7.000516,3.881508
7.041583,3.924024
7.083183,3.969524
7.125583,4.021648
7.166516,4.062959
7.208249,4.111861
7.250382,4.162421
7.291716,4.203416
7.333315,4.254
7.375315,4.302748
7.416782,4.346672
7.458249,4.393122
7.500382,4.442878
7.541848,4.492172
7.583181,4.535893
7.625181,4.584477
7.666915,4.638981
7.708381,4.681542
7.749848,4.727957
7.791981,4.784605
7.833447,4.829058
7.874914,4.87791
7.917181,4.932814
7.958381,4.977421
7.999848,5.028779
8.042114,5.085106
